op_name,shape,latency_ms
matmul_f32,128x128x128,0.0300
matmul_f32,256x256x256,0.1419
matmul_f32,512x512x512,0.6965
matmul_f32,1024x1024x1024,5.4683
conv2d_f32,1x3x32x32x16x3,0.0244
conv2d_f32,1x3x64x64x32x3,0.0908
conv2d_f32,1x64x128x128x64x3,10.4315
conv2d_f32,1x64x56x56x128x3,4.0371
relu_f32,1048576,0.0920
sigmoid_f32,1048576,0.0920
gelu_f32,1048576,0.0866
silu_f32,1048576,0.0920
add_f32,1048576,0.1306
softmax_f32,32x512,0.0223
softmax_f32,128x1024,0.0195
softmax_f32,256x4096,0.1856
layernorm_f32,32x768,0.0239
layernorm_f32,128x768,0.0222
layernorm_f32,128x3072,0.0676
reduce_sum_f32,128x1024,0.0257
reduce_max_f32,128x1024,0.0255
reduce_sum_f32,256x4096,0.0521
maxpool_f32,128x128x2x2,0.0311
avgpool_f32,128x128x2x2,0.0288
maxpool_f32,256x256x3x3,0.0285
